price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,engine-size,curb-weight,height,width,length,wheel-base,normalized-losses
13495.0,27.0,21.0,5000.0,111.0,9.0,2.68,3.47,130.0,2548.0,48.8,64.1,168.8,88.6,115.0
16500.0,27.0,21.0,5000.0,111.0,9.0,2.68,3.47,130.0,2548.0,48.8,64.1,168.8,88.6,115.0
16500.0,26.0,19.0,5000.0,154.0,9.0,3.47,2.68,152.0,2823.0,52.4,65.5,171.2,94.5,115.0
13950.0,30.0,24.0,5500.0,102.0,10.0,3.4,3.19,109.0,2337.0,54.3,66.2,176.6,99.8,164.0
17450.0,22.0,18.0,5500.0,115.0,8.0,3.4,3.19,136.0,2824.0,54.3,66.4,176.6,99.4,164.0
15250.0,25.0,19.0,5500.0,110.0,8.5,3.4,3.19,136.0,2507.0,53.1,66.3,177.3,99.8,115.0
17710.0,25.0,19.0,5500.0,110.0,8.5,3.4,3.19,136.0,2844.0,55.7,71.10000000000002,192.7,105.8,158.0
18920.0,25.0,19.0,5500.0,110.0,8.5,3.4,3.19,136.0,2954.0,55.7,71.10000000000002,192.7,105.8,115.0
23875.0,20.0,17.0,5500.0,140.0,8.3,3.4,3.13,131.0,3086.0,55.9,71.10000000000002,192.7,105.8,158.0
12762.781094527363,22.0,16.0,5500.0,160.0,7.399999999999999,3.4,3.13,131.0,3053.0,52.0,67.9,178.2,99.5,115.0
16430.0,29.0,23.0,5800.0,101.0,8.8,2.8,3.5,108.0,2395.0,54.3,64.8,176.8,101.2,191.0
16925.0,29.0,23.0,5800.0,101.0,8.8,2.8,3.5,108.0,2395.0,54.3,64.8,176.8,101.2,191.0
20970.0,28.0,21.0,4250.0,121.0,9.0,3.19,3.31,164.0,2710.0,54.3,64.8,176.8,101.2,188.0
21105.0,28.0,21.0,4250.0,121.0,9.0,3.19,3.31,164.0,2765.0,54.3,64.8,176.8,101.2,188.0
